student_id,true_grade,predicted_grade
9,B,B
10,C,C
11,D,D
16,B,B
26,C,B
28,A,A
33,A,A
43,A,A
44,C,D
46,D,C
49,B,A
52,B,C
53,C,C
59,C,C
60,B,B
73,A,A
80,B,B
83,D,C
84,A,A
85,A,B
87,C,C
103,B,B
108,C,B
122,B,B
123,C,C
125,B,C
127,B,C
129,B,C
131,A,A
141,B,B
147,B,B
153,B,B
154,C,F
158,B,B
160,C,C
168,B,A
180,C,C
194,B,C
197,C,C
201,A,B
206,D,D
208,A,B
217,A,B
220,A,A
226,D,C
232,A,A
234,A,A
246,A,A
250,D,C
262,C,B
268,B,B
269,A,A
274,A,A
278,B,C
282,B,B
297,C,D
298,B,A
299,D,F
311,B,B
320,B,B
324,A,C
327,D,C
338,A,A
341,A,B
342,A,A
344,C,B
345,A,B
350,C,C
352,B,B
357,B,C
374,B,A
377,A,A
380,C,C
381,C,C
384,A,A
402,A,B
413,B,A
414,A,A
420,C,D
422,B,B
430,C,C
434,B,B
444,B,B
446,C,C
452,B,B
461,A,A
471,B,B
477,A,A
478,A,A
479,B,B
481,B,B
482,A,B
486,B,C
490,A,A
507,C,B
509,C,C
512,B,B
526,B,C
530,B,B
532,B,B
536,C,C
538,B,C
547,C,C
549,A,A
551,C,B
553,C,B
555,D,C
559,A,A
571,D,B
576,B,A
577,C,D
581,C,C
584,D,C
589,C,C
590,C,C
593,C,C
599,B,B
604,A,A
605,B,A
612,C,B
618,C,C
620,B,B
627,A,A
628,D,D
633,B,B
637,A,A
642,A,B
645,B,B
648,A,B
651,F,C
659,B,C
671,D,B
674,C,C
686,A,A
687,A,B
689,B,B
693,A,A
697,C,C
698,A,B
708,C,B
715,A,A
718,B,B
728,B,B
731,A,A
733,C,B
735,C,A
738,D,D
751,B,A
752,A,B
760,C,C
769,B,A
775,C,C
779,B,A
784,C,B
787,C,C
790,C,C
791,F,D
795,B,B
796,A,A
798,C,B
801,B,C
806,B,C
807,B,B
809,C,C
811,B,B
816,B,C
817,B,C
820,A,A
821,D,C
829,C,C
842,C,B
845,B,B
849,B,C
851,A,A
867,B,D
869,A,A
873,C,B
876,B,A
877,A,A
878,D,B
881,B,B
887,C,B
894,C,B
904,D,F
905,A,A
906,A,A
912,A,A
915,C,C
944,A,A
945,A,A
946,A,A
956,B,B
960,B,B
969,D,C
973,B,D
980,A,A
984,B,B
987,B,B
991,B,B
997,A,A
