student_id,true_score,predicted_score
11,68.9,65.8
24,71.2,78.71
26,76.0,76.28
31,82.4,90.04
40,91.6,94.26
45,70.8,74.88
55,99.8,93.2
56,84.3,88.31
60,89.5,88.0
61,80.4,86.07
64,73.0,74.73
67,67.8,78.16
68,79.2,84.38
71,79.6,81.26
73,94.6,91.9
77,71.9,78.28
79,74.9,77.1
87,79.0,78.41
89,78.9,86.81
97,87.4,81.33
102,66.3,71.41
108,74.0,77.66
111,61.7,74.81
121,95.8,89.49
137,59.7,65.57
138,80.9,83.96
140,80.2,81.85
159,63.7,67.98
169,75.1,71.44
175,79.2,84.97
185,85.8,79.85
199,87.3,86.02
200,92.5,89.33
209,96.1,92.28
210,73.1,71.06
211,81.2,77.99
214,78.5,75.15
216,74.7,80.63
219,86.8,82.83
222,71.5,69.68
236,85.7,85.56
238,84.4,93.73
245,76.2,72.8
248,76.5,81.51
255,87.6,85.43
257,86.7,85.92
260,94.3,88.0
261,71.3,71.79
262,79.7,85.09
266,100.0,100.58
276,76.4,81.26
278,88.3,77.7
281,81.1,76.86
282,84.5,87.08
290,74.1,73.98
293,84.5,87.39
295,100.0,95.41
297,70.9,72.62
299,69.2,68.78
300,82.3,89.06
308,72.8,73.68
310,83.3,85.23
311,82.6,83.2
313,100.0,101.74
315,100.0,95.05
319,84.2,87.67
320,80.7,82.11
322,93.1,93.63
328,82.6,89.09
329,63.7,81.38
333,82.8,89.83
347,87.2,90.23
352,86.5,87.55
356,76.2,75.3
362,95.1,87.98
364,75.6,82.83
366,75.4,79.92
371,80.2,87.79
372,82.8,89.38
378,74.3,77.37
383,76.8,79.6
409,80.1,71.28
412,90.2,88.74
426,86.2,74.97
430,72.0,75.52
433,79.7,83.54
437,100.0,92.8
440,100.0,94.71
446,79.9,78.65
452,82.0,84.42
463,95.1,85.17
480,84.8,77.37
487,66.6,72.02
494,82.1,86.74
495,88.5,107.5
500,99.6,98.21
514,77.9,73.79
522,71.8,78.14
523,84.9,86.18
527,84.8,83.77
528,96.4,97.8
529,84.3,82.53
530,84.5,90.12
535,80.7,85.62
543,88.8,91.04
544,91.8,95.87
549,100.0,97.14
550,85.2,78.03
555,63.4,72.33
560,73.5,76.35
571,63.3,77.19
579,83.3,78.05
584,68.4,77.34
585,84.6,90.14
590,72.2,72.96
591,89.0,82.05
596,80.4,77.2
600,86.3,85.24
602,95.1,91.3
605,80.9,89.78
614,75.0,78.85
618,79.1,71.52
622,79.3,81.73
627,96.8,93.71
636,96.3,78.22
637,100.0,97.5
644,70.4,74.26
645,82.9,85.41
650,97.3,98.51
651,59.5,79.58
653,88.0,88.51
657,83.6,80.99
661,95.2,91.04
663,94.2,93.47
669,97.6,83.43
671,60.8,83.75
678,67.7,77.35
679,63.6,70.63
680,84.1,82.12
688,74.4,86.85
690,67.7,77.17
693,92.2,87.84
698,97.9,83.58
714,95.6,87.76
715,91.9,96.31
717,98.5,97.41
722,70.7,78.88
738,66.6,73.2
741,62.9,73.75
742,94.0,87.8
750,95.1,86.46
754,67.2,85.54
762,74.0,61.23
765,85.4,80.54
768,71.2,69.79
788,96.8,91.25
801,83.0,83.59
803,100.0,98.42
811,85.9,85.42
812,88.4,88.72
817,80.2,81.97
821,65.4,74.37
823,71.6,69.36
824,100.0,102.28
827,86.3,86.9
830,100.0,103.89
838,88.7,86.35
846,80.3,80.53
850,100.0,96.64
860,66.5,72.83
866,89.8,84.2
867,80.3,75.46
868,91.6,90.85
880,85.6,86.1
884,94.4,91.26
885,100.0,102.69
893,76.4,79.99
894,79.6,83.45
900,68.8,73.96
902,80.7,82.58
903,73.3,78.43
915,76.9,77.33
918,88.1,74.97
925,71.2,78.58
937,85.6,82.74
939,77.3,84.98
942,85.3,75.34
943,68.6,74.65
948,85.8,94.84
949,100.0,92.71
960,80.5,85.41
974,77.9,77.86
975,67.9,77.29
978,72.1,78.09
979,83.0,87.81
986,96.4,94.72
987,81.8,87.43
990,93.9,86.49
996,70.7,78.57
999,82.2,75.05
